id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
,,,,,Product,Public Price,Fix Price,1,2200,hsc_XR Avant Bras
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Bassin
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Bras
,,,,,Product,Public Price,Fix Price,1,2000,hsc_XR Cheville
,,,,,Product,Public Price,Fix Price,1,2200,hsc_XR Clavicule
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Colonne Cervicale
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Colonne Dorsale
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Colonne Lombaire
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Colonne Lombo Sacrée
,,,,,Product,Public Price,Fix Price,1,2000,hsc_Coude du Bras
,,,,,Product,Public Price,Fix Price,1,2500,hsc_XR Crane
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Cuisse
,,,,,Product,Public Price,Fix Price,1,1500,hsc_ECG
,,,,,Product,Public Price,Fix Price,1,1500,hsc_ECG-Electrocardiographie
,,,,,Product,Public Price,Fix Price,1,3300,hsc_Echcardiographie
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Echo Doppler Arterielle
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Echo Doppler Scrotale
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Echo Doppler Véneuse
,,,,,Product,Public Price,Fix Price,1,3700,hsc_Endoscopie Digestive
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Epaule
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Fémur
,,,,,Product,Public Price,Fix Price,1,2000,hsc_XR Finger (3 Views)
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Genou
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Hanche
,,,,,Product,Public Price,Fix Price,1,2000,hsc_XR Hand (3 Views)
,,,,,Product,Public Price,Fix Price,1,2250,hsc_XR Jambe
,,,,,Product,Public Price,Fix Price,1,2000,hsc_XR Pied
,,,,,Product,Public Price,Fix Price,1,2000,hsc_XR Poignet
,,,,,Product,Public Price,Fix Price,1,2750,hsc_XR Sinus
,,,,,Product,Public Price,Fix Price,1,2750,hsc_Sonographie Abdominale
,,,,,Product,Public Price,Fix Price,1,4500,hsc_Sonographie Abdomino-Pelvienne
,,,,,Product,Public Price,Fix Price,1,2750,hsc_Sonographie de la Carotide
,,,,,Product,Public Price,Fix Price,1,2750,hsc_Sonographie de la Thyroïde
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Sonographie Foetale Biophysicale Profile
,,,,,Product,Public Price,Fix Price,1,2750,hsc_Sonographie Gynécologique ou Pelvienne
,,,,,Product,Public Price,Fix Price,1,2500,hsc_Sonographie Obstétricale
,,,,,Product,Public Price,Fix Price,1,2750,hsc_Sonographie Renale
,,,,,Product,Public Price,Fix Price,1,2250,hsc_Thorax
,,,,,Product,Public Price,Fix Price,1,2000,hsc_Toe (3 Vieux)
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1001
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1002
,,,,,Product,Public Price,Fix Price,1,20000,hsc_ORL1003
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1004
,,,,,Product,Public Price,Fix Price,1,20000,hsc_ORL1005
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1006
,,,,,Product,Public Price,Fix Price,1,25000,hsc_ORL1007
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1008
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1009
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1010
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1011
,,,,,Product,Public Price,Fix Price,1,45000,hsc_ORL1012
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORL1013
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1014
,,,,,Product,Public Price,Fix Price,1,25000,hsc_ORL1015
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORL1016
,,,,,Product,Public Price,Fix Price,1,45000,hsc_ORL1017
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1018
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1019
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1020
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORL1021
